T_h;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;TAG_Gesamtzahl_Passanten_dSSG
2018-07-05T17:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";1370
2018-07-05T23:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";70
2018-07-06T00:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";58
2018-07-06T04:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";9
2018-07-06T05:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";50
2018-07-06T06:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";138
2018-07-06T07:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";441
2018-07-06T14:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";1357
2018-07-06T20:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";250
2018-07-07T03:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;37
2018-07-07T05:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;29
2018-07-07T11:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;1805
2018-07-07T12:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;1815
2018-07-07T16:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;1698
2018-07-07T19:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;339
2018-07-07T20:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;430
2018-07-07T23:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Samstag;6;Tagesverkehr;162
