Titel;Datum;Verwaltungsebene;Typ;Resultat;Ja-Stimmen;Nein-Stimmen;URL;Status;Total der Gemeinden;Ausgezählte Gemeinden;Letzte Änderung;turnout
Erneuerungswahl Gerichtskreis Alttoggenburg-Wil: 2 Gerichtspräsident/innen;2003-02-09;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-gerichtskreis-alttoggenburg-wil-2-kreisgerichtspraesident-innen;abgeschlossen;10;10;2022-01-19T07:36:18+01:00;0.0
Erneuerungswahl Gerichtskreis Rheintal: 4 Gerichtspräsident/innen;2003-02-09;none;election;;;;https://wab.sg.ch/election/wahl-der-kreisgerichtspraesidenten-praesidentinnen-im-gerichtskreis-rheintal;abgeschlossen;14;14;2022-07-25T13:16:06+02:00;25.122631528325478
Erneuerungswahl Gerichtskreis St.Gallen: 6 Gerichtspräsident/innen;2003-02-09;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-gerichtskreis-st-gallen-6-gerichtspraesident-innen;abgeschlossen;4;4;2022-01-19T07:36:19+01:00;0.0
Erneuerungswahl Gerichtskreis Werdenberg-Sarganserland: 3 Gerichtspräsident/innen;2003-02-09;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-gerichtskreis-werdenberg-sarganserland-3-gerichtspraesident-innen;abgeschlossen;14;14;2022-01-19T07:36:19+01:00;0.0
Bundesgesetz über den Bevölkerungsschutz und Zivilschutz;2003-05-18;federation;vote;accepted;77.596874221121;22.403125778879;https://wab.sg.ch/vote/bundesgesetz-ueber-den-bevoelkerungsschutz-und-zivilschutz;abgeschlossen;90;90;2022-01-19T07:36:20+01:00;47.87977215050204
Volksinitiative «Strom ohne Atom» - Für eine Energiewende und schrittweise Stilllegung der Atomkraftwerke;2003-05-18;federation;vote;rejected;29.830569315815925;70.16943068418408;https://wab.sg.ch/vote/volksinitiative-strom-ohne-atom-fuer-eine-energiewende-und-schrittweise-stilllegung-der-atomkraftwerke;abgeschlossen;90;90;2022-01-19T07:36:22+01:00;48.343884475339294
Ersatzwahl Gerichtskreis St.Gallen: Richter/in (1. Wahlgang);2008-02-24;none;election;;;;https://wab.sg.ch/election/richter-in-kreisgericht;abgeschlossen;4;4;2022-07-21T12:27:16+02:00;15.675075051658935
Erneuerungswahl der Mitglieder des Kantonsrates 2008;2008-03-16;canton;election_compound;;;;https://wab.sg.ch/elections/erneuerungswahl-der-mitglieder-des-kantonsrates-2008;abgeschlossen;8;8;2022-01-19T07:36:20+01:00;
Erneuerungswahl der Mitglieder der Regierung (1. Wahlgang);2008-03-16;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-mitglieder-der-regierung-1-wahlgang-2;abgeschlossen;88;88;2022-07-22T12:52:20+02:00;38.231404173929555
Kantonsratswahl 2008: Wahlkreis Wil;2008-03-16;district;election;;;;https://wab.sg.ch/election/kantonsratswahl-2008-wahlkreis-wil;abgeschlossen;11;11;2022-01-19T07:36:20+01:00;34.070583929919266
Volksinitiative «Für die Unverjährbarkeit pornografischer Straftaten an Kindern»;2008-11-30;federation;vote;accepted;57.48531873244631;42.51468126755369;https://wab.sg.ch/vote/volksinitiative-fuer-die-unverjaehrbarkeit-pornografischer-straftaten-an-kindern;abgeschlossen;88;88;2022-01-19T07:36:22+01:00;47.0294724675968
Erneuerungswahl Kreisgericht Rorschach: 14 Richter/innen;2008-11-30;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-kreisgericht-rorschach-14-richter-innen;abgeschlossen;9;9;2022-01-19T07:36:19+01:00;0.0
Erneuerungswahl Kreisgericht See-Gaster: Gerichtspräsident/in;2008-11-30;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-kreisgericht-see-gaster-kreisgerichtspraesident-in-1;abgeschlossen;10;10;2022-07-12T14:43:02+02:00;0.0
Erneuerungswahl Kreisgericht Toggenburg: Gerichtspräsident/in;2008-11-30;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-kreisgericht-toggenburg-kreisgerichtspraesident-in-1;abgeschlossen;13;13;2022-07-12T14:40:53+02:00;0.0
Änderung des Bundesgesetzes über die Invalidenversicherung (5. IV-Revision);2007-06-17;federation;vote;accepted;68.49088346292001;31.50911653707999;https://wab.sg.ch/vote/anderung-des-bundesgesetzes-ueber-die-invalidenversicherung-5-iv-revision;abgeschlossen;88;88;2022-01-19T07:36:20+01:00;36.96857794636107
Kantonsratsbeschluss über den Neubau des Zentrums für Alterspsychiatrie der Psychiatrischen Klinik St.Pirminsberg in Pfäfers;2007-06-17;canton;vote;accepted;82.92323471714647;17.07676528285353;https://wab.sg.ch/vote/kantonsratsbeschluss-ueber-den-neubau-des-zentrums-fuer-alterspsychiatrie-der-psychiatrischen-klinik-st-pirminsberg-in-pfaefers;abgeschlossen;88;88;2022-01-19T07:36:21+01:00;34.708574895280556
VI. Nachtrag zum Gesetz über die Verwaltungsrechtspflege;2007-06-17;canton;vote;accepted;61.586431037984966;38.413568962015034;https://wab.sg.ch/vote/vi-nachtrag-zum-gesetz-ueber-die-verwaltungsrechtspflege;abgeschlossen;88;88;2022-01-19T07:36:21+01:00;34.34320712467153
Ersatzwahl Gerichtskreis Untertoggenburg-Gossau: Richter/in;2007-06-17;none;election;;;;https://wab.sg.ch/election/ersatzwahl-gerichtskreis-untertoggenburg-gossau-richter-in-3;abgeschlossen;11;11;2022-01-19T07:36:19+01:00;0.0
Finanzausgleichsgesetz;2007-09-23;canton;vote;accepted;75.25042525042525;24.749574749574748;https://wab.sg.ch/vote/finanzausgleichsgesetz;abgeschlossen;88;88;2022-01-19T07:36:21+01:00;22.199823225455535
Erneuerungswahl der st.gallischen Mitglieder des Ständerates (1. Wahlgang);2007-10-21;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-st-gallischen-mitglieder-des-staenderates-1-wahlgang;abgeschlossen;88;88;2022-07-22T12:23:58+02:00;48.50552847461657
Bundesbeschluss vom 16. Dezember 2005 über die Neuordnung der Verfassungsbestimmungen zur Bildung;2006-05-21;federation;vote;accepted;84.09996893766825;15.900031062331749;https://wab.sg.ch/vote/bundesbeschluss-vom-16-dezember-2005-ueber-die-neuordnung-der-verfassungsbestimmungen-zur-bildung;abgeschlossen;89;89;2022-01-19T07:36:20+01:00;26.241141931565092
Volksinitiative vom 9. Oktober 2002 «Nationalbankgewinne für die AHV»;2006-09-24;federation;vote;rejected;39.353662084773305;60.646337915226695;https://wab.sg.ch/vote/volksinitiative-vom-9-oktober-2002-nationalbankgewinne-fuer-die-ahv;abgeschlossen;89;89;2022-01-19T07:36:22+01:00;47.811015362062534
Bundesgesetz vom 24. März 2006 über die Familienzulagen (Familienzulagengesetz, FamZG);2006-11-26;federation;vote;accepted;61.92229732457947;38.07770267542053;https://wab.sg.ch/vote/bundesgesetz-vom-24-maerz-2006-ueber-die-familienzulagen-familienzulagengesetz-famzg;abgeschlossen;89;89;2022-01-19T07:36:21+01:00;41.7733811378322
Ersatzwahl Gerichtskreis Untertoggenburg-Gossau: Richter/in;2006-11-26;none;election;;;;https://wab.sg.ch/election/ersatzwahl-gerichtskreis-untertoggenburg-gossau-richter-in-2;abgeschlossen;11;11;2022-01-19T07:36:19+01:00;0.0
Änderung des Bundesgesetzes über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz);2010-03-07;federation;vote;rejected;30.905932656333512;69.0940673436665;https://wab.sg.ch/vote/anderung-des-bundesgesetzes-ueber-die-berufliche-alters-hinterlassenen-und-invalidenvorsorge-bvg-mindestumwandlungssatz;abgeschlossen;86;86;2022-01-19T07:36:20+01:00;42.09301945665136
II. Nachtrag zum Gesetz über Ruhetag und Ladenöffnung;2010-09-26;canton;vote;rejected;36.49722836738642;63.50277163261358;https://wab.sg.ch/vote/ii-nachtrag-zum-gesetz-ueber-ruhetag-und-ladenoeffnung;abgeschlossen;85;85;2022-01-19T07:36:21+01:00;39.57839847075856
Ersatzwahl Kreisgericht Rorschach: Richter/in;2010-09-26;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-rorschach-haupt-oder-teilamtliche-r-richterin;abgeschlossen;9;9;2022-07-21T11:42:09+02:00;0.0
Ersatzwahl Kreisgericht St.Gallen: Richter/in;2010-09-26;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-st-gallen-haupt-oder-teilamtliche-r-richter-in-4;abgeschlossen;9;9;2022-07-21T11:42:29+02:00;0.0
