Datum;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;Anzahl Velos
2012-01-08;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;33
2012-01-09;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";207
2012-01-09;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";167
2012-01-11;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";188
2012-01-12;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";294
2012-01-14;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;110
2012-01-14;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;108
2012-01-16;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";189
2012-01-20;Oberstrasse 149;47.414179,9.356962;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";139
2012-01-21;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;65
2012-01-21;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;111
2012-01-25;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";146
2012-01-25;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";186
2012-01-27;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";176
2012-01-29;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;20
2012-01-29;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;51
2012-01-30;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";100
2012-02-02;Museumstrasse;47.427214,9.379645;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";33
2012-02-02;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";58
2012-02-03;Oberstrasse 149;47.414179,9.356962;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";65
2012-02-04;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;10
2012-02-07;Museumstrasse;47.427214,9.379645;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";28
2012-02-08;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";42
2012-02-09;Museumstrasse;47.427214,9.379645;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";42
2012-02-09;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";74
2012-02-09;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";585
2012-02-10;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";411
2012-02-11;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;23
2012-02-12;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;17
2012-02-13;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";66
2012-02-14;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";424
2012-02-16;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";472
2012-02-18;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;73
2012-02-19;Vadianstrasse 8;47.422903,9.372979;Wochenende;Sonntag;7;Tagesverkehr;97
2012-02-21;Museumstrasse;47.427214,9.379645;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";95
2012-02-21;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";118
2012-02-21;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";211
2012-02-22;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";123
2012-02-22;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";139
2012-02-24;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";160
2012-02-29;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";279
2012-02-29;Oberstrasse 149;47.414179,9.356962;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";349
2012-03-02;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";195
2012-03-04;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;164
2012-03-05;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";175
2012-03-05;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";177
2012-03-09;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";312
2012-03-10;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;166
2012-03-11;Museumstrasse;47.427214,9.379645;Wochenende;Sonntag;7;Tagesverkehr;48
2012-03-11;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;83
2012-03-12;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";305
2012-03-14;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";364
2012-03-16;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";473
2012-03-17;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;458
2012-03-18;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;309
2012-03-18;Vadianstrasse 8;47.422903,9.372979;Wochenende;Sonntag;7;Tagesverkehr;158
2012-03-19;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";100
2012-03-19;Oberstrasse 149;47.414179,9.356962;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";174
2012-03-20;Museumstrasse;47.427214,9.379645;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";375
2012-03-21;Oberstrasse 149;47.414179,9.356962;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";626
2012-03-21;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";745
2012-03-22;Museumstrasse;47.427214,9.379645;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";430
2012-03-22;Oberstrasse 149;47.414179,9.356962;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";632
2012-03-23;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";463
2012-03-24;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;453
2012-03-24;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;812
2012-03-26;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";423
2012-03-28;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";679
2012-03-29;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";482
2012-03-30;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";262
2012-03-31;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;462
2012-04-01;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Sonntag;7;Tagesverkehr;227
2012-04-02;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";464
2012-04-03;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";873
2012-04-04;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";343
2012-04-06;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";115
2012-04-07;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;95
2012-04-08;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;53
2012-04-09;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";44
2012-04-10;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";356
2012-04-11;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";120
2012-04-11;Oberstrasse 149;47.414179,9.356962;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";190
2012-04-11;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";168
2012-04-13;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";1209
2012-04-14;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;178
2012-04-14;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;198
2012-04-14;Vadianstrasse 8;47.422903,9.372979;Wochenende;Samstag;6;Tagesverkehr;1127
2012-04-15;Oberstrasse 149;47.414179,9.356962;Wochenende;Sonntag;7;Tagesverkehr;82
