Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
"KHK; Erneuerung Rauchgasreinigung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK Rauchgasreinigung;Einladung;Bunkersanierung;;2021-11-23;"SikaBau AG
St.Gallen";371322.9;
Erneuerung Rauchgasreinigung;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK St.Gallen;Freihändig;Gerüste;;2021-12-03;Adler AG, 9033 Untereggen;130000.0;
Erneuerung Rauchgasreinigung;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK St.Gallen;Freihändig;Schaltgerätekombinationen NS-HV4.1;;2021-12-03;"ABB Schweiz AG
5400 Baden";125052.45;
Schulhaus Spelterini, Sonnenstrasse 16, St.Gallen;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Schulhaus Spelterini;Freihändig;244;Lüftungsanlage;2022-01-10;"E3 HLK AG St.Gallen
Bildstrasse 5
9015 St.Gallen";117195.0;
Inventar der schützenswerten Bauten in der Altstadt (Altstadtinventar);DPB;Direktion Planung und Bau;SPA;Stadtplanung;Altstadtinventar;Offen;Erarbeitung des Inventars der schützenswerten Bauten in der Altstadt;;2022-01-21;"ARGE Altstadtinventar St.Gallen
c/o Andreas Madianos
Unt. Vogelsangstrasse 11
8400 Winterthur";680000.0;
Ersatz einer Saugkehrmaschine mit Elektroantrieb;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;"Ersatz Saugkehrmaschine; Strasseninspektorat";Freihändig;;;2022-01-25;"Bucher Municipal AG
Niederweningen";227000.0;
BKP 242.3 Blockheizkraftwerk, Hofstrasse 1-11;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Blockheizkraftwerk;Einladung;Montage Blockheizkraftwerk;;2022-03-08;IWK integrierte Wärme und Kraft AG;238000.0;
Erneuerung Rauschgasreinigung KHK;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK St.Gallen;Freihändig;Anschluss Fernwärme / Rohrleitungen, Armaturen, Apparate;;2022-03-15;"Hälg & Co. AG
Lukasstrasse 30
9001 St.Gallen";113789.5;
Primarschule Hebel, Sanierung und betriebliche Optimierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Einladung;273.3;Allg. Schreinerarbeiten Schulhaus;2022-03-22;"Bresag Innenausbau AG
St.Gallen";189782.15;
"KHK; Leit-, Steuerungs- und Systemtechnik; Steuerungstausch DeNox";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK;Freihändig;Sanierung und Instandhaltung;;2022-03-29;"SAR Automation und Prozesstechnik GmbH
Birmensdorf";178187.65;
Dynamisches Fahrgastinformationssystem;DTB;Direktion Technische Betriebe;VBSG;Verkehrsbetriebe;DFI-Anzeigetafeln;Offen;Lieferung;;2022-03-22;"ib datentechnik nause GmbH
Allensbach (D)";884924.0;"Vorbehältlich Parlamentsentscheid zum Kredit; StParl 22.03.2022"
Rotmontenstrasse, Tannenstrasse bis Guisanstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;"Rotmontenstrasse; Tannenstrasse bis Guisanstrasse";Einladung;;Strasseninstandstellung;2022-04-07;"Hüppi AG
St.Gallen";124855.0;
Ersatzbeschaffung des Videomanagement-Systems der Stadtpolizei;DSSI;Direktion Soziales und Sicherheit;STAPO;Stadtpolizei;Videomanagement-Systems;Freihändig;Elektro;;2021-08-24;"Siemens Schweiz AG
Industriestrasse 149 
9201 Gossau";139162.6;
Ausbau Fernwärme, Teilgebiet 4.1 St.Fiden;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 417, Greithstrasse;Freihändig;Rohrleitungsbau;;2022-05-03;"Sihro Tech AG
Sirnach";151115.35;
Segantinistrasse, Aeplistrass bis Kolumbanstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Segantinistrasse;Einladung;Aufgrabung;Strasseninstandstellungsarbeiten;2022-05-18;"Stutz AG
St.Gallen";109766.05;
