Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
Primarschule Riethüsli, Neubau der Schulanlage;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Riethüsli;Offen;BKP 112.1 - 201.1;Rückbau bis Baugrubenaushub;2022-05-17;"ARGE Riethüsli
STUTZ AG / Eberle AG
St.Gallen";5164472.9;
Ersatz eines Lastwagens SI;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Ersatz Lastwagen;Einladung;;Ersatzbeschaffung;2022-05-17;"Scania Schweiz AG
St.Gallen";235000.0;
Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sanierungs- und Erweiterungsmassnahmen Betriebsgebäude;Offen;BKP 242 + 246;Heizungs- und Kälteanlagen;2022-06-21;"Fürer AG
Mörschwil";622929.35;
Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sanierungs- und Erweiterungsmassnahmen Betriebsgebäude;Offen;BKP 250;Sanitäranlagen;2022-06-21;"Kreis Wasser AG
St.Gallen";764470.25;
Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Sanierungs- und Erweiterungsmassnahmen Betriebsgebäude;Offen;BKP 261;Aufzüge;2022-06-21;"Kone Schweiz AG
Brüttisellen";95755.5;
Ausbau Fernwärme Teilgebiet 4.4 Helvetiastrasse;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 441, Fernwärmeleitung Friedeggstrasse;Einladung;Rohrbauarbeiten für Fernwärme;;2022-07-05;"Hälg & Co. AG
Hofackerstrasse 15
8409 Winterthur";380041.0;
Sportanlage Neudorf, Sanierung und Erweiterung Leichtathletikanlage;DPB;Direktion Planung und Bau;SGR;Stadtgrün;Sportanlage Neudorf;Einladung;BKP 423;Sportgeräte;2022-09-06;"Vogasport AG
Märstetten";209570.95;
"St.Leonhard-Strasse; unterirdische Fuss- und Radwegverbindung Lokremisenweg-Bogenstrasse";DPB;Direktion Planung und Bau;TBA;Tiefbauamt;LV-Tunnel;Offen;Ingenieurleistungen;;2022-09-27;"INGE Vadian
c/o F.Preisig AG
bestehend aus F. Preisig AG, Bänziger AG und Wälli AG";571910.4;
Oberstufenschulhaus Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Einladung;BKP 272.2 Allgemeine Metallbauarbeiten;;2021-01-21;"Tobias Lenggenhager AG
Lömmenschwil";146100.15;
Los 325 Brauerstrasse - Rohrbauarbeiten;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 325 Brauerstrasse;Offen;Rohrbauarbeiten für Fernwärme;;2021-01-26;"Sihro Tech AG
Sirnach";508854.9;
