T_Y;Oberkategorie;Kategorie;Standort;Sektor;Untersektor;TAG_CO2-eq./a_Schweiz;TAG/a_Schweiz;TAG_CO2-eq./a_Stadt_St.Gallen;TAG/a_Stadt_St.Gallen
2018;Übrige Materialien;Kies, Sand;Schweiz;Produktion und Konsum;Recycling;165.4423257;28877;1.4676725716027854;256.17374919538884
2018;Übrige Materialien;Mauerwerk;Schweiz;Produktion und Konsum;Deponie;0.0;0;0.0;0.0
2018;Übrige Materialien;Mauerwerk;Schweiz;Produktion und Konsum;Recycling;0.0;0;0.0;0.0
2018;Übrige Materialien;Textilien, Leder;Schweiz;Produktion und Konsum;Deponie;65.25185616;7941;0.578862507686582;70.44622856808473
2018;Übrige Materialien;Textilien, Leder;Schweiz;Produktion und Konsum;Recycling;0.0;147891;0.0;1311.9711861431329
2018;Energie;Brennstoff;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Energie;Elektrizität;Schweiz;Bau;"Kompost/
Biogas";0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Bau;Deponie;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Bau;Deponie;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Bau;Recycling;0.0;0;0.0;0.0
2018;Übrige Materialien;Aluminium;Schweiz;Bau;Verbrennung;0.0;0;0.0;0.0
2018;Übrige Materialien;Asphalt;Schweiz;Bau;Recycling;10188.0;2485514;90.37982327813214;22049.500988940254
2018;Übrige Materialien;Beton;Schweiz;Bau;Deponie;5424.0;987664;48.117408859500266;8761.768529463397
2018;Übrige Materialien;Elektronik, Batterien;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Übrige Materialien;Elektronik, Batterien;Schweiz;Bau;Recycling;0.0;0;0.0;0.0
