T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-06-10T16:00:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-10T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;14;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T10:00:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T10:15:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T17:45:00+02:00;c5ed762037214d;Freibad Rotmonten;19;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T20:45:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-11T21:00:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-12T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-12T12:30:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-12T19:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-13T09:45:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-13T11:15:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-13T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T07:45:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T08:00:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T08:30:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T08:45:00+02:00;c5ed762037214d;Freibad Rotmonten;13;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;17;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T10:30:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T13:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T17:00:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-15T19:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T11:45:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T15:15:00+02:00;c5ed762037214d;Freibad Rotmonten;1;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T18:00:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T18:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-16T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T07:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T08:45:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T09:45:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T10:15:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T10:30:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-17T13:00:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T09:30:00+02:00;c5ed762037214d;Freibad Rotmonten;17;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T10:45:00+02:00;c5ed762037214d;Freibad Rotmonten;20;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T12:00:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T14:45:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T17:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T19:00:00+02:00;c5ed762037214d;Freibad Rotmonten;19;1780;Eislaufen im Winter für max. 180 Personen
2020-06-18T20:00:00+02:00;c5ed762037214d;Freibad Rotmonten;22;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T08:00:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T08:45:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T16:15:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-19T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-20T09:00:00+02:00;c5ed762037214d;Freibad Rotmonten;13;1780;Eislaufen im Winter für max. 180 Personen
2020-06-20T10:15:00+02:00;c5ed762037214d;Freibad Rotmonten;13;1780;Eislaufen im Winter für max. 180 Personen
2020-06-20T10:30:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-20T11:30:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T07:45:00+02:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T09:30:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T11:00:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T15:00:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T16:15:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
